employee_id,employee_name,department,employment_status,joining_date,service_period,leave_type,start_date,end_date,leave_duration,reason,reason_category,approved
EMP00001,Employee_1,HR,Permanent,2024-05-24,564,Casual,2025-12-14,2025-12-21,8,I have a medical appointment scheduled at the hospital for health issues,Medical,0
EMP00002,Employee_2,HR,Contract,2023-07-28,865,Sick,2025-12-12,2025-12-12,1,Eye checkup appointment with specialist ophthalmologist scheduled,Medical,1
EMP00003,Employee_3,Engineering,Contract,2024-10-27,408,Emergency,2025-12-24,2025-12-31,8,Family emergency due to sudden hospitalization of parent requiring immediate attention,Emergency,0
EMP00004,Employee_4,Finance,Contract,2023-07-27,866,Earned,2025-12-14,2025-12-22,9,Anniversary celebration with spouse at planned destination,Personal,0
EMP00005,Employee_5,HR,Permanent,2023-10-22,779,Sick,2026-01-06,2026-01-17,12,Having flu symptoms and doctor advised rest for few days,Medical,1
EMP00006,Employee_6,Engineering,Contract,2023-05-13,941,Sick,2025-12-12,2025-12-24,13,Dealing with severe migraine attacks requiring rest and medication,Medical,0
EMP00007,Employee_7,Sales,Contract,2024-11-10,394,Sick,2025-12-31,2026-01-01,2,Having flu symptoms and doctor advised rest for few days,Medical,1
EMP00008,Employee_8,HR,Permanent,2025-05-16,207,Emergency,2025-12-24,2026-01-01,9,Unexpected family crisis requiring immediate travel back home,Emergency,1
EMP00009,Employee_9,Finance,Probation,2023-12-12,728,Casual,2026-01-01,2026-01-09,9,I have a medical appointment scheduled at the hospital for health issues,Medical,0
EMP00010,Employee_10,Finance,Contract,2024-07-25,502,Casual,2025-12-22,2026-01-05,15,Want to spend time on personal development activities,Other,0
EMP00011,Employee_11,Marketing,Contract,2024-02-13,665,Sick,2026-01-05,2026-01-12,8,Need to handle some important personal matters,Other,0
EMP00012,Employee_12,Operations,Permanent,2024-10-02,433,Earned,2025-12-30,2026-01-05,7,Dental emergency requiring immediate clinic visit and recovery,Medical,1
